file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
Bathroom test 2.m4a,88.38834764831843,176.7766952966369,,88–177,2.03810625,0.40099798719196145,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 2.m4a,176.77669529663686,353.5533905932738,,177–354,2.047289583333333,0.7151108986968275,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 2.m4a,353.5533905932737,707.1067811865476,,354–707,1.622330458236351,0.9867599718901909,REG,OK,False,ML Test · Reference Octaves
Bathroom test 2.m4a,707.1067811865474,1414.213562373095,,707–1k,1.241158793502398,0.9981279375412179,REG,OK,False,ML Test · Reference Octaves
Bathroom test 2.m4a,1414.2135623730949,2828.42712474619,,1k–2k,1.0255402075919287,0.9989730278562182,REG,OK,False,ML Test · Reference Octaves
Bathroom test 2.m4a,2828.4271247461897,5656.85424949238,,2k–5k,0.9812903507954489,0.9981698241423163,REG,OK,False,ML Test · Reference Octaves
Bathroom test 2.m4a,5656.8542494923795,11313.70849898476,,5k–11k,1.823871994948847,0.8280235114210441,REG,CHECK,False,ML Test · Reference Octaves
Bathroom test 2.m4a,11313.708498984759,22627.41699796952,,11k–22k,2.03216875,0.8512953452734442,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,22.273863607376246,44.5477272147525,,22–45,0.19263229166666668,0.7824993821279587,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,44.54772721475249,89.095454429505,,45–89,0.20147916666666668,0.5341324789984147,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,88.38834764831843,176.7766952966369,,88–177,2.9221010416666666,0.4991140668893958,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,176.77669529663686,353.5533905932738,,177–354,2.8991822916666665,0.4764959843683438,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,353.5533905932737,707.1067811865476,,354–707,1.5539410486058687,0.9846373599456781,REG,OK,False,ML Test · Reference Octaves
Bathroom test 3.m4a,707.1067811865474,1414.213562373095,,707–1k,1.2754993939082373,0.9980863280536812,REG,OK,False,ML Test · Reference Octaves
Bathroom test 3.m4a,1414.2135623730949,2828.42712474619,,1k–2k,1.0045004917968874,0.9984547351086428,REG,OK,False,ML Test · Reference Octaves
Bathroom test 3.m4a,2828.4271247461897,5656.85424949238,,2k–5k,2.922833333333333,0.485524025737513,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,5656.8542494923795,11313.70849898476,,5k–11k,2.9140260416666663,0.5641629835268592,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 3.m4a,11313.708498984759,22627.41699796952,,11k–22k,2.920003125,0.7795935085089278,REG,CHECK,True,ML Test · Reference Octaves
Drum clap.m4a,22.273863607376246,44.5477272147525,,22–45,0.12921199569958405,0.9796538102849937,REG,OK,False,ML Test · Reference Octaves
Drum clap.m4a,44.54772721475249,89.095454429505,,45–89,,,NA,LOW,False,ML Test · Reference Octaves
Drum clap.m4a,88.38834764831843,176.7766952966369,,88–177,0.42347931577240755,0.9781838275964305,REG,OK,False,ML Test · Reference Octaves
Drum clap.m4a,176.77669529663686,353.5533905932738,,177–354,3.753548958333333,0.6652317739691406,REG,CHECK,True,ML Test · Reference Octaves
Drum clap.m4a,353.5533905932737,707.1067811865476,,354–707,1.2672933552707595,0.9355044835497767,REG,OK,False,ML Test · Reference Octaves
Drum clap.m4a,707.1067811865474,1414.213562373095,,707–1k,0.9735481752319377,0.983909380833066,REG,OK,False,ML Test · Reference Octaves
